fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,white,red,quality
0.2975206611570249,0.38666666666666666,0.0,0.018404907975460134,0.10963455149501661,0.04166666666666667,0.07834101382488481,0.20609215346057422,0.6124031007751937,0.19101123595505623,0.20289855072463775,0.0,1.0,5
0.33884297520661166,0.3466666666666666,0.03614457831325302,0.015337423312883444,0.09966777408637875,0.04861111111111111,0.12211981566820274,0.1791016001542301,0.44961240310077505,0.13483146067415736,0.20289855072463775,0.0,1.0,5
0.28925619834710753,0.38,0.0,0.00920245398773007,0.09302325581395349,0.04861111111111111,0.03456221198156681,0.1443994601889339,0.5193798449612403,0.1404494382022472,0.2898550724637681,0.0,1.0,7
0.3305785123966943,0.33333333333333326,0.012048192771084348,0.021472392638036818,0.10631229235880398,0.027777777777777776,0.027649769585253448,0.18681318681318648,0.4961240310077518,0.19662921348314608,0.21739130434782608,0.0,1.0,7
0.30578512396694224,0.27999999999999997,0.2168674698795181,0.08435582822085891,0.10299003322259134,0.05555555555555557,0.2211981566820276,0.20609215346057422,0.48837209302325585,0.3258426966292135,0.36231884057971014,0.0,1.0,5
0.2396694214876034,0.33333333333333326,0.048192771084337366,0.018404907975460134,0.1461794019933555,0.04861111111111111,0.1359447004608295,0.1694621168305373,0.4341085271317828,0.17977528089887646,0.17391304347826075,0.0,1.0,5
0.14876033057851243,0.35666666666666663,0.0,0.015337423312883444,0.13289036544850497,0.05208333333333334,0.12211981566820274,0.13861577019471608,0.6666666666666667,0.16853932584269668,0.27536231884057977,0.0,1.0,5
0.3884297520661158,0.13333333333333333,0.33734939759036153,0.018404907975460134,0.1378737541528239,0.11805555555555558,0.22350230414746539,0.18874108347792504,0.44961240310077505,0.2977528089887641,0.36231884057971014,0.0,1.0,7
0.2975206611570249,0.33999999999999997,0.048192771084337366,0.05828220858895707,0.12790697674418605,0.01736111111111112,0.05299539170506912,0.19838056680161784,0.5116279069767441,0.15730337078651688,0.14492753623188406,0.0,1.0,4
0.4214876033057853,0.09333333333333331,0.28915662650602414,0.018404907975460134,0.11295681063122923,0.09722222222222224,0.12442396313364053,0.18681318681318648,0.5193798449612403,0.17415730337078655,0.20289855072463775,0.0,1.0,6
